1;arms_factory;2955.00;9.60;1642.00;2.11;0
1;arms_factory;2959.00;9.60;1653.00;4.78;0
1;arms_factory;2962.00;9.60;1643.00;2.61;0
1;arms_factory;2954.00;9.60;1638.00;2.72;0
1;arms_factory;2959.00;9.60;1648.00;0.56;0
1;arms_factory;2957.00;9.60;1640.00;3.22;0
1;industrial_complex;2956.00;9.60;1651.00;4.78;0
1;industrial_complex;2957.00;9.60;1642.00;1.16;0
1;industrial_complex;2961.00;9.60;1635.00;5.28;0
1;industrial_complex;2953.00;9.60;1647.00;0.21;0
1;industrial_complex;2957.00;9.60;1638.00;3.23;0
1;industrial_complex;2957.00;9.60;1648.00;1.07;0
1;air_base;2962.00;9.60;1650.00;3.73;0
1;naval_base;2960.00;9.60;1653.00;-3.00;5555
1;naval_base;2954.00;9.50;1633.00;-0.79;5579
1;naval_base;2952.00;9.60;1645.00;-1.37;5579
1;bunker;2955.00;9.60;1646.00;0.72;0
1;bunker;2957.00;9.60;1638.00;4.84;0
1;bunker;2959.00;9.60;1652.00;0.12;0
1;coastal_bunker;2952.00;9.50;1646.00;-1.37;0
1;coastal_bunker;2964.00;9.60;1651.00;0.98;0
1;coastal_bunker;2953.00;9.50;1636.00;-0.79;0
1;dockyard;2964.00;9.50;1642.00;0.98;0
1;anti_air_building;2956.00;9.60;1638.00;1.23;0
1;anti_air_building;2956.00;9.60;1649.00;5.35;0
1;anti_air_building;2958.00;9.60;1640.00;5.45;0
1;synthetic_refinery;2957.00;9.60;1632.00;3.29;0
1;fuel_silo;2956.00;9.60;1644.00;5.96;0
1;radar_station;2958.00;9.60;1645.00;4.01;0
1;rocket_site;2954.00;9.60;1647.00;3.90;0
1;nuclear_reactor;2961.00;9.60;1647.00;1.74;0
2;arms_factory;3006.00;9.63;1654.00;2.61;0
2;arms_factory;3010.00;9.63;1650.00;2.72;0
2;arms_factory;3022.00;11.38;1643.00;0.56;0
2;arms_factory;3022.00;11.45;1645.00;3.22;0
